rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss
3.34,879,803,706560,80.78,345,0.05732421875,921.2656967639923,0.0003,-0.30579805239103736,3440,0.33675575256347656,0.003099633,-0.005370614252751693,0.15,441.13128662109375
3.31,878,806,708608,84.39,346,0.06484375,853.8009510040283,0.0003,-0.3031833006069064,3450,0.23482179641723633,0.0032528532,-0.008726014755666256,0.15,460.20111083984375
3.31,878,808,710656,82.28,347,0.0775390625,836.0242429733277,0.0003,-0.29940654062666,3460,0.3002607226371765,0.003948597,-0.00598920171323698,0.15,370.669677734375
3.26,878,811,712704,89.14,348,0.07265625,871.3311608314514,0.0003,-0.3243341552559286,3470,0.43986523151397705,0.003687412,-0.006836374208796769,0.15,275.5773010253906
3.29,878,813,714752,91.75,349,0.05419921875,855.8206169128418,0.0003,-0.30572065180167557,3480,0.32074451446533203,0.0025616148,-0.00698624031356303,0.15,620.3180541992188
3.33,878,815,716800,88.45,350,0.063720703125,852.305303478241,0.0003,-0.3127631803508848,3490,0.28658127784729004,0.0041288277,-0.008173570413782727,0.15,431.99334716796875
3.56,878,817,718848,82.02,351,0.0734375,778.4302571296691,0.0003,-0.3086306566838175,3500,0.23027777671813965,0.0041994983,-0.007285157873411663,0.15,469.1660461425781
3.28,878,820,720896,83.31,352,0.068115234375,884.0943663597106,0.0003,-0.32006832235492766,3510,0.3317139148712158,0.003155143,-0.006964426173362881,0.15,309.525634765625
3.37,879,822,722944,85.58,353,0.067578125,885.6854117870331,0.0003,-0.3079501962289214,3520,0.3349682688713074,0.0046729213,-0.006311141917103668,0.15,461.1313781738281
3.4,879,824,724992,90.62,354,0.068310546875,771.1454231739044,0.0003,-0.29814414619468155,3530,0.2934361696243286,0.0037136567,-0.005731438464135863,0.15,253.7225341796875
3.35,879,826,727040,92.78,355,0.033154296875,824.9565006256104,0.0003,-0.31374046560376884,3540,0.2820214629173279,0.0018818137,-0.004674769236589782,0.15,581.0077514648438
3.46,879,828,729088,93.86,356,0.052685546875,693.4659640312195,0.0003,-0.3108995071612298,3550,0.4097898006439209,0.003230982,-0.006165516638429835,0.15,227.83578491210938
3.32,879,830,731136,87.94,357,0.0517578125,852.7671170711517,0.0003,-0.3167016026098281,3560,0.38108980655670166,0.0026323458,-0.005608955695061013,0.15,291.14666748046875
3.25,880,832,733184,79.69,358,0.054638671875,669.3209974765778,0.0003,-0.3133332523982972,3570,0.4573100805282593,0.0033028377,-0.00663592266937485,0.15,286.746337890625
3.41,880,835,735232,84.62,359,0.05947265625,846.204249048233,0.0003,-0.29178222035989165,3580,0.309814989566803,0.00346108,-0.006768662769172806,0.15,270.48822021484375
3.48,880,837,737280,95.46,360,0.05205078125,931.6903809547424,0.0003,-0.30433521275408565,3590,0.3746163845062256,0.0023246305,-0.004574305604910478,0.15,532.0224609375
3.36,880,839,739328,85.52,361,0.05732421875,739.8259590148925,0.0003,-0.2807650186587125,3600,0.26112890243530273,0.0025975555,-0.006863847115528188,0.15,188.95753479003906
3.5,880,841,741376,80.71,362,0.04169921875,876.7768326759339,0.0003,-0.3012849573045969,3610,0.2771509885787964,0.0024501914,-0.005269494363892591,0.15,483.1747741699219
3.31,881,843,743424,86.74,363,0.064794921875,867.3348336219788,0.0003,-0.31333927041850984,3620,0.35933858156204224,0.0034222621,-0.006183160083310213,0.15,569.4342651367188
3.5,881,845,745472,88.96,364,0.047705078125,717.427105474472,0.0003,-0.29946945239789785,3630,0.37235885858535767,0.0024114426,-0.006875250504526776,0.15,334.1752624511719
3.23,881,848,747520,89.35,365,0.04208984375,833.2999522209168,0.0003,-0.3179916196502745,3640,0.32240790128707886,0.0025629045,-0.0051378592092078176,0.15,318.3603210449219
3.28,881,850,749568,85.6,366,0.043994140625,959.068410730362,0.0003,-0.29903340521268545,3650,0.2776640057563782,0.0024795854,-0.004886358258954715,0.15,375.75372314453125
3.31,881,852,751616,86.92,367,0.05224609375,686.8148665904998,0.0003,-0.3109657341614366,3660,0.39170360565185547,0.0029654761,-0.00713226643492817,0.15,373.3318786621094
3.38,881,854,753664,89.29,368,0.085009765625,869.6040519714355,0.0003,-0.30130539974197745,3670,0.3425135612487793,0.00424724,-0.011057562132918974,0.15,393.36138916015625
3.35,881,857,755712,85.71,369,0.0689453125,771.8363626003265,0.0003,-0.3049774199724197,3680,0.4020312428474426,0.004415897,-0.006556008603365626,0.15,348.5054626464844
3.29,880,860,757760,88.3,370,0.053662109375,792.8148876667022,0.0003,-0.2943599607795477,3690,0.2976670265197754,0.002898817,-0.00638941206416348,0.15,485.9118957519531
3.2,880,863,759808,85.6,371,0.075146484375,744.6886406421661,0.0003,-0.2890897500794381,3700,0.2939533591270447,0.0033508223,-0.008560817618854345,0.15,437.81988525390625
3.31,880,865,761856,89.16,372,0.0623046875,818.5845928192139,0.0003,-0.28402344780042765,3710,0.3058856725692749,0.0045733377,-0.008659427386010065,0.15,560.287109375
